etiqueta,mensaje,,,
ham,"Hmmm... Creí que habíamos dicho 2 horas, esclavo, no 3... Llegaste tarde... ¿Cómo debería castigarte?",,,
ham,¿Edad de la cerveza?,,,
spam,PREMIER tiene un anuncio importante para usted. ¡Llame ahora al número gratuito 0800 542 0578!,,,
ham,No lo creo. Se apaga aleatoriamente a los 5 minutos de abrirlo.,,,
ham,"Se suponía que iba a venir, pero no pudo; sin embargo, sigue en la ciudad.",,,
ham,Lo hace solo. La mayoría de las veces corrige mi ortografía. Pero a veces escribe una palabra completamente diferente. ¡Quién lo diría!,,,
spam,¿Alguna vez has soñado con tener una vida plena con la pareja ideal? Envía tu nombre y edad por SMS para unirte a nuestra comunidad móvil. (100p/SMS),,,
spam,5 tonos polifónicos Top gratuitos. Llama al 087018728737. Tarifa nacional. Recibe un tono polifónico Top cada semana; solo envía un SMS con la palabra SUBPOLY al 81618. 3 £ por tono. Suscríbete al 08718727870.,,,
ham,"Buenos días, que tengas un buen día.",,,
ham,"Espero que hayas disfrutado de tu partido de ayer. Siento no haber estado en contacto, pero quiero que sepas que te tengo en cuenta. Que tengas una buena semana. Abiola",,,
ham,¡Que tengas un buen día conduciendo mañana! :-),,,
ham,"¿Y? ¿DÓNDE ESTÁS, PERRO ALIENTO? ¡¡¡¡¡¡¡SUENA COMO JAN C, ESA ES AL!!!!!!!!",,,
ham,"¡Dios mío, quiero gritar! ¡Me pesé y perdí más peso! ¡Yupi!",,,
ham,Generalmente no hay una. Es un sustantivo incontable: u en el diccionario. ¿piezas de investigación?,,,
ham,Me está deprimiendo mucho el simple hecho de estar por aquí.,,,
spam,"Cliente de Orange, ahora puede reclamar su actualización GRATUITA a un TELÉFONO CON CÁMARA como recompensa por su fidelidad. Llame ahora al 0207 153 9996. La oferta finaliza el 14 de marzo. Se aplican términos y condiciones. Puede darse de baja.",,,
ham,"""Petey, ¿dónde estás? Yo y todos tus amigos estamos en el Kingshead. Ven si puedes. Con cariño, Nic.""",,,
ham,"Vale, te mando un mensaje antes de salir de casa.",,,
ham,"""Dame unos minutos"" fue hace <#> minutos",,,
spam,"¡Última oportunidad! ¡Consigue hoy mismo tus cupones de descuento por valor de 150 £! ¡Envía un SMS con la palabra SHOP al 85023 ahora! SavaMob, ¡ofertas móviles! Términos y condiciones. SavaMob POBOX84, M263UZ. 3,00 £ Sub. 16",,,
ham,La cita es a las <HORA> am. No es mi culpa que no escuches. Te lo dije dos veces.,,,
spam,¡GRATIS la primera semana! El tono Nokia n.° 1 para tu móvil cada semana. Solo tienes que enviar un SMS con la palabra NOKIA al 8077. ¡Empieza a enviar SMS y cuéntaselo a tus amigos! www.getzed.co.uk Apartado de correos 36504 W45WQ 16+ norm150p/tono,,,
spam,"Has ganado un premio garantizado de 200 € o incluso 1000 € en efectivo. Para reclamar tu premio, llama gratis al 08000407165 (mayores de 18 años). Para más información, llama al 88222 PHP. RG21 4JX",,,
ham,"Vale, estaré allí antes de las 4.",,,
ham,"Lo descargué en 3D, es muy importante.",,,
ham,"Claro, pero asegúrate de que sepa que todavía no estamos fumando.",,,
ham,¡Buuu! Siempre trabajas. ¡Renuncia ya!,,,
ham,Me tomaré medio día libre porque no me encuentro bien.,,,
ham,"Uf, no quiero levantarme de la cama. Hace mucho calor.",,,
ham,S:)s.nervioso &lt;#&gt; :),,,
ham,"Así que hay un anillo que viene con los disfraces de los chicos. Está ahí para que se lo regalen a sus futuras esposas. Pista, pista",,,
spam,¡Enhorabuena! Has ganado 500 € en vales regalo para CD y participa gratis en nuestro sorteo semanal de 100 €. Envía un SMS con la palabra MUSIC al 87066. Consulta los términos y condiciones en www.Ldew.com1win150ppmx3age16.,,,
ham,"Te tomo prestada tu bolsa, ¿de acuerdo?",,,
spam,"simonwatson5120 te superó en la puja por el DVD Shinco Plyr. Para volver a pujar, visita sms.ac/smsrewards. Para finalizar las notificaciones de puja, responde END OUT.",,,
ham,¿Dónde está mi novio? Te extraño... ¿Qué pasó?,,,
ham,"Tiene muchos usados, nena, pero el modelo no ayuda. Tienes que traerlo y él lo buscará.",,,
ham,¿También vas a traer a Galileo o a Dobby?,,,
ham,"Entonces, ¿por qué no respondes?",,,
ham,"¡Cariño! ¿Disfrutas de tu trabajo? ¡Parecía que te iba muy bien! Espero que estés bien. Cuídate y hablamos pronto. Mucho amor, XXXX.",,,
ham,"¡Buenas tardes, estrellita! ¿Cómo está mi chico? ¿Ya me desea? ¿Anhela follarme? *toma un sorbo de capuchino* Te extraño, nena *beso juguetón*",,,
ham,"Estoy de viaje, así que no puedo enviar mensajes de texto.",,,
spam,"SERVICIOS SMS. Para obtener créditos de SMS incluidos, visite www.comuk.net. Ingrese login=3qxj9. Para cancelar la suscripción, envíe STOP sin cargo adicional. Ayuda: 08702840625. COMUK. 220-CM2 9AE",,,
spam,25p 4 alfie Moon's Children in need song en tu móvil. Díselo a tus amigos. Envía un SMS con la palabra Tone charity al 8007 para Nokias o Poly charity para Polys: zed 08701417012 profit 2 charity.,,,
ham,¡Que tengas una buena noche! ¡Hasta luego!,,,
ham,Mmm... Fragmentos y pedazos jajaja... *suspira*...,,,
ham,"Jajaja... usa tu cerebro, cariño",,,
ham,Hola. ¿Tienes algún correo?,,,
ham,"Lo siento, el semáforo se puso en verde. Quise decir que otro amigo quería algo mejor, pero puede que no esté por aquí.",,,
ham,"Gracias por ayer, señor. Ha sido usted maravilloso. Espero que haya disfrutado del entierro. MojiBiola",,,
spam,"Tienes un admirador secreto. Revela quién piensa que eres tan especial. Llama al 09065174042. Para darte de baja, responde REVELAR STOP. 1.50 por mensaje recibido. Atención al cliente: 07821230901",,,
ham,"Hola amigo, soy RV. ¿Tuviste unas buenas vacaciones? Solo un mensaje para saludarte porque hace mucho que no te mando uno. Empecé a conducir, ¡así que mejor no salgas de la carretera! RVx",,,
spam,"Estimado titular del cupón: Para reclamar la oferta de esta semana, visite http://www.e-tlp.co.uk/expressoffer en su ordenador. Se aplican términos y condiciones. Para dejar de recibir mensajes de texto, envíe STOP al 80062.",,,
ham,"Muchas gracias. Cuando hablamos por Skype con kz y sura, no tuvimos el placer de contar con tu compañía. Espero que estés bien. ¡Te hemos dado un ultimátum! Estamos contando los días para Aburo. ¡Disfruta! Este es el mensaje que envié hace unos días.",,,
ham,Seguramente el resultado lo ofrecerá :),,,
ham,Buenos días mi querido/a........... Que tengas un día estupendo y exitoso.,,,
spam,"¿Quieres 750 minutos para cualquier red, 150 mensajes de texto y un NUEVO teléfono con video por solo cinco libras a la semana? Llama al 08002888812 o responde para recibirlo mañana.",,,
ham,"Señor, me he retrasado en el pago del alquiler durante los últimos meses y tuve que pagar un cargo de $ <#>. Sentí que sería desconsiderado de mi parte quejarme por algo que usted paga con tanto esfuerzo y por eso no dije nada. Sin embargo, estoy en una recesión y no podré pagar el cargo este mes, por eso le pido esto con tanta antelación. ¿Podría ayudarme, por favor? Gracias.",,,
spam,"Intentamos contactarte sobre nuestra oferta de nuevo videoteléfono 750 en cualquier momento y en cualquier red, minutos a MITAD DE PRECIO. Alquiler de videocámara, llama al 08000930705 o responde para entrega el miércoles.",,,
spam,"Última oportunidad para reclamar tus cupones de descuento por valor de 150 €. ¡Envía SÍ al 85023 ahora! Ofertas para miembros de SavaMob. Términos y condiciones para móviles: 08717898035. 3,00 €. Suscripción: 16 €. Eliminar el mensaje: X o STOP.",,,
ham,"Te quiero muchísimo, no te imaginas lo especial que eres para mí. Te llamo mañana. Te quiero xxx",,,
ham,"Por favor, envíenme un correo electrónico detallado sobre a quién le estoy pagando, cuándo y cuánto.",,,
ham,La madre de nuestro Prashanthettan falleció anoche. Oren por ella y su familia.,,,
spam,¡Urgente! Llame al 09066350750 desde su teléfono fijo. Reciba sus vacaciones gratuitas de 4 estrellas en Ibiza o 10.000 € en efectivo. Términos y condiciones: Apartado de correos 434 SK3 8WP. 150 ppm. Mayores de 18 años.,,,
ham,Vale:) ¿Cuándo te vas?,,,
ham,"Mientras tanto, en la suite de mierda: Xavier decidió darnos <#> segundos de aviso de que Samantha iba a venir y está tocando la guitarra de Jay para impresionarla o algo así. Además, creo que Doug no se da cuenta de que ya no vivo aquí.",,,
ham,Mi estómago ha sufrido tanto que juro que no puedo comer. Mejor adelgazo.,,,
ham,Estoy en la oficina :) ¿Qué pasa? Mándame un mensaje ahora. Te llamaré en el descanso :).,,,
ham,"Sí, apenas hay espacio para los dos, X tiene demasiados zapatos. Lo siento, tío, hasta luego.",,,
spam,"¡Oferta de hoy! ¡Reclama tus cupones de descuento por valor de 150 £! ¡Envía SÍ al 85023 ahora! SavaMob, ¡ofertas móviles para miembros! Términos y condiciones 08717898035. 3,00 £ Suscribirse. 16. Cancelar suscripción Responder X",,,
ham,¿Ya llegaste al huerto? ¿Quieres ir a comprar boletos primero?,,,
ham,"¡Soy real, nena! Quiero sacar a relucir tu tigresa interior...",,,
ham,No da si ejecutas eso activa la versión completa da.,,,
ham,"\¡Pobre bebé! ¡Espero que te sientas mejor! ¡Te quiero! Probablemente sea una sobredosis de trabajo. Oye, ten cuidado. Hablamos mucho. ¡Te quiero! XXX.\""""",,,
ham,Deja de contar historias. Le dije que lo devolví y me dice que no debería volver a pedirlo.,,,
spam,¡Habla con sensualidad! Haz nuevos amigos o enamórate con el servicio de citas por SMS más discreto del mundo. Envía un mensaje con la palabra VIP al 83110 y descubre a quién podrías conocer.,,,
ham,¿Vas a sacar a tu chica a pasear?,,,
ham,"Hola ana, mañana vengo por la mañana. Estaré allí en Sathy y luego iremos a la oficina de RTO. Contéstame cuando llegues a casa.",,,
ham,¿Entonces con cucharas está bien?,,,
ham,¿Acaba de decir que alguien se llama Tampa?,,,
ham,Estoy trabajando ahora. Voy a tener en unos minutos.,,,
ham,Tu hermano es un genio.,,,
ham,"Lo siento, supongo que cuando pueda contactar con mis contactos, ¿quizás en una o dos horas? Te enviaré un mensaje.",,,
ham,¿Has averiguado a qué hora sale el autobús? Porque necesito arreglar algunas cosas.,,,
ham,"Tío, últimamente he visto un montón de Corvettes.",,,
spam,¡Enhorabuena! Has ganado un año de CDs de Virgin Records o un regalo sorpresa GARANTIZADO. Llama al 09061104283. Consulta los términos y condiciones en www.smsco.net. 13:50 h (aprox. 3 minutos).,,,
ham,"Lo mismo digo, pero considero que los muros, los búnkeres y demás son importantes simplemente porque nunca juego en modo pacífico, pero supongo que tu posición es lo suficientemente alta como para que no importe.",,,
spam,¡PRIVADO! Su extracto de cuenta de 2003 para el número 07808 XXXXXX muestra 800 puntos S.I.M. sin canjear. Llame al 08719899217. Código de identificación: 41685. Caduca el 07/11/04.,,,
spam,Hola. Necesitamos algunas chicas y chicos elegantes para probar los productos de Champneys. ¿Puedo apuntarte? Necesito tu dirección y fecha de nacimiento lo antes posible. Gracias.,,,
spam,¿Qué quieres para Navidad? ¿Qué te parecen 100 mensajes de texto gratis y un nuevo videoteléfono con alquiler de línea a mitad de precio? ¡Llama gratis ahora al 0800 0721072 para más información!,,,
ham,"Bueno, oficialmente estoy en un pozo filosófico, así que si quieres llamarme, estoy en casa listo para ser salvado.",,,
ham,Todo va bien... no hay problema... pero aún necesito un poco de experiencia para entender la forma de hablar de los clientes estadounidenses...,,,
ham,Te enviaré un mensaje cuando deje a x.,,,
ham,"Uf, ha sido un día largo. Estoy agotada. Solo quiero acurrucarme y echarme una siesta.",,,
ham,"¡Habla contigo mismo al menos una vez al día...!!! De lo contrario, ¡perderás a tu mejor amigo en este mundo...!!! -Shakespeare- SHESIL &lt;#&gt;",,,
spam,"Compra hasta el cansancio, ¿eres tú?, ya sea 10.000, 5.000, 500 € en efectivo o un bono de viaje de 100 €, llama ahora al 09064011000. NTT PO Box CR01327BT línea fija Coste 150 ppm móvil varía",,,
ham,¿Estás en Castor? Necesitas ver algo.,,,
spam,"¡Pregunta semanal del concurso Sunshine! Gana un reproductor de DVD Sony de alta gama si sabes contra qué país jugó el Liverpool a mitad de semana. Envía tu respuesta por SMS al 82277. 1,50 £. SP: Tyrone",,,
spam,Tienes un admirador secreto que busca contactarte. Descubre quién te considera tan especial. Llama al 09058094565.,,,
spam,Tienes un admirador secreto que busca contactarte. Descubre quién te considera tan especial. Llama al 09065171142 (deja de enviar SMS al 08).,,,
spam,Recordatorio: No has descargado el contenido que ya pagaste. Ve a http://doit.mymoby.tv/ para obtenerlo.,,,
ham,"Mira, sabía que darte un respiro un par de veces te llevaría a querer saltarte el toque de queda. Iba a dejarte hasta la una, pero una película de medianoche no se estrena hasta después de las dos. Tienes que volver a casa. Tienes que dormir y, si acaso, tienes que estudiar entrenamiento auditivo.",,,
ham,Me encanta dar masajes. Uso mucho aceite para bebés... ¿Cuál es tu posición favorita?,,,
ham,"Tío, deberíamos ir a cenar otra vez",,,
ham,"Yoyyooo, ¿sabes cómo cambiar los permisos de una unidad en Mac? Mi unidad flash USB.",,,
ham,Gibbs no se vendió. Mike Hussey,,,
ham,"Me gusta hablar con papá, pero no puedo. No sé por qué.",,,
ham,Y no lo cortaste demasiado corto. ¿No te gusta? Ella fracasó. Está bastante triste.,,,
ham,¡Eres un maricón increíble!,,,
ham,Esposa. ¿Cómo supo la hora exacta del asesinato?,,,
ham,"¿Por qué preguntas, princesa?",,,
ham,¡Soy una gran princesa! ¿Qué piensas de mí? :),,,
ham,"Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. es decir, tú",,,
ham,"Está bien, sé que estás ocupada, pero estoy muy aburrida, así que te escribo. Yo tampoco sé qué color eligió para mí.",,,
ham,No tiene clase temprano mañana y por lo tanto no debería estar tratando de fumar en &lt;#&gt;,,,
ham,"Excelente reflexión: ""Agradece no tener todo lo que deseas. Eso significa que aún tienes la oportunidad de ser más feliz mañana que hoy.""",,,
ham,Espero que estés teniendo una buena semana. Solo quería saludar.,,,
ham,"Ya estoy acostumbrada. Solo espero que mis agentes no me dejen, ya que solo he conseguido unos pocos trabajos este año. Todo esto de que yo estuviera en Boston y ellos en Nueva York fue un experimento.",,,
ham,"¿El jueves por la noche? Sí, claro, lo arreglaremos entonces.",,,
spam,"Tu tono de llamada gratuito está esperando a ser recogido. Simplemente envía un mensaje de texto con la contraseña ""MIX"" al 85069 para verificarlo. Consigue a Usher y Britney. FML",," MK17 92H. 450Ppw 16""",
ham,Probablemente sean problemas económicos. Se acercan los vencimientos de pagos y tengo varias facturas pendientes por trabajos que realicé hace dos o tres meses.,,,
ham,¿Cómo es posible enseñarte? ¿Y dónde?,,,
ham,"Me pregunto si se te habrá agotado la batería del móvil. Tenía que decírtelo, te quiero, cariño.",,,
ham,Este autobús huele de maravilla y no es a tabaco...,,,
ham,"Todos estamos preocupados aquí, Derek y Taylor ya se han imaginado lo peor.",,,
ham,"Hola, ¿qué tal, Charles? Perdona por la tardanza en responder.",,,
spam,"¡Lo último de Stereophonics, Marley, Dizzee Racal, Libertines y The Strokes! ¡Gana juegos de Nookii con Flirt! Haz clic en el marcador WAP de TheMob o envía un mensaje de texto con la palabra WAP al 82468.",,,
ham,"Se lo daré cuando lo tenga. Además, dijo que Grinule te saluda cada vez que hablamos.",,,
ham,Las galletas OREO de chocolate blanco ya están en las tiendas.,,,
spam,"¡Oferta de enero para hombres! Chat gay picante ahora más barato, llama al 08709222922. Tarifa nacional desde 1,5 peniques/minuto (tarifa reducida) hasta 7,8 peniques/minuto (tarifa punta). Para dejar de recibir mensajes, llama al 08712460324 (10 peniques/minuto).",,,
ham,"¡Mi amor! ¿Por qué tardaste tanto en irte a casa de Zaher? Vi tus palabras en mi móvil y me alegró leerlas, pero me entristeció que te fueras. Te echo de menos.",,,
ham,Lamento que te haya dolido.,,,
ham,No puedo. Tengo náuseas. Estoy furiosa. No comí dulces en toda la semana porque hoy pensaba darme un atracón. Estuve a dieta toda la semana. Y ahora no tengo hambre :/,,,
ham,"Vale, pero no demasiado pronto. Todavía tengo una reunión de proyecto.",,,
ham,"Llámame, estoy esperando tu llamada.",,,
ham,Podría preguntarle a Carlos si podríamos conseguir más si alguien más puede aportar algo.,,,
ham,"De hecho, hoy iba a enviarte un recordatorio. Que tengas un buen fin de semana.",,,
ham,"Cuando la gente ve mis mensajes, piensan que soy adicta a los mensajes... Se equivocan, porque no saben que soy adicta a mis dulces amigos..!! BSLVYL",,,
ham,"Oye, ¿les diste tu foto cuando te registraste para conducir? ¿Mañana nos vemos en YCK?",,,
ham,"No le hables nunca, ¿de acuerdo? Te lo prometo.",,,
ham,Cuando quieras verlo entonces,,,
ham,"Voy camino a la escuela. ¿Podrías enviarme el número de Ashley, por favor?",,,
ham,Todo irá bien. Ya tengo Avalarr. Hablaremos luego.,,,
ham,"Hoy tuvo que asistir a dos rondas más, pero aún no ha podido regresar a casa.",,,
ham,"En realidad, borré mi antiguo sitio web... ahora estoy blogueando en magicalsongs.blogspot.com",,,
ham,"Vale, espera chikku... te lo enviaré después de &lt;#&gt; minutos",,,
ham,"Pero estoy a dieta. Y ayer me comí una porción de pizza de más. Uf, SIEMPRE estoy a dieta.",,,
ham,K:) Te daré los detalles de mi cuenta KVB :),,,
ham,"Oh, ¿tienen que venir todos?",,,
spam,"¡Dinero! ¡Eres un afortunado ganador! Para reclamar tu premio, envía un mensaje de texto con la palabra ""dinero"" al 288600. ¡Más de 1 millón de libras esterlinas para regalar! ppt150x3+normal text rate box403 w1t1jy",,,
ham,"Lo siento mucho, no podré hacerlo este viernes. Espero que puedas encontrar una alternativa. Espero que tu trimestre vaya bien :-)",,,
ham,Felicidades ore mo owo re wa. Disfrútalo y te deseo muchos momentos felices en tus viajes de ida y vuelta a dondequiera que vayas.,,,
ham,¿Ya tienes los hombros de Samus?,,,
ham,¿A qué hora crees que lo tendrás? Necesito saber cuándo debería estar cerca del campus.,,,
spam,"Estimado Matthew, por favor llame al 09063440451 desde un teléfono fijo. Sus vacaciones de lujo de 4 estrellas en Tenerife o 1000 € en efectivo estarán listos para ser recogidos. ppm150 SAE Términos y condiciones Box334 SK38XH.",,,
ham,Entonces no uses jeans lo...,,,
ham,¿Desde cuándo? ¿De qué lado? ¿Tiene fiebre? ¿Tiene vómitos?,,,
ham,K:)k.¿Estás en la universidad?,,,
spam,"¡Urgente! Llame al 09061749602 desde un teléfono fijo. Reciba sus vacaciones gratuitas de 4 estrellas en Tenerife o 10.000 € en efectivo. Términos y condiciones: SAE. Apartado de correos 528, HP20 1YF. 150 ppm. Mayores de 18 años.",,,
ham,Mejor. Me recuperé el viernes y ayer me atiborré como un cerdo. Ahora me siento fatal. Pero al menos no es un malestar insoportable.,,,
ham,"No, lo vendemos todo para tener montones de monedas. Luego vendemos nuestras monedas a alguien a través de PayPal. ¡Listo! Dinero de vuelta en nuestros bolsillos :)",,,
ham,Lo están haciendo en muchos sitios. Solo los hospitales y los centros médicos son seguros.,,,
spam,¿Qué tal si contactas con gente que busca compañía? ¡Solo tienes que responder con tu NOMBRE y EDAD para unirte! Disfruta de la comunidad (150p/SMS).,,,
ham,"Y también le he dado plantón un par de veces últimamente, así que prefiero no enviarle un mensaje de texto de repente pidiéndole marihuana.",,,
ham,"Envié mis calificaciones a Sophas y tuve que hacer una solicitud adicional para algunas escuelas. Creo que si estás pensando en postularte, investiga también el costo. Contacta a Joke Ogunrinde, su escuela es una de las menos costosas.",,,
ham,¡Tengo muchas ganas de verte! ¿Qué tal te resultaron las fotos? :),,,
spam,"Tu saldo actual es de 500 libras. Para maximizar tu ingreso de efectivo, envía GO al 86688. Solo 150 peniques por mensaje. CC: 08718720201 PO BOX 114/14 TCR/W1",,,
ham,"Hola, ya reservé la clase de matemáticas para el sábado... ¿Qué otras clases tenemos planeadas? Mantén libre la noche del sábado, necesitamos reunirnos y confirmar el alojamiento.",,,
ham,Comprueba en tu querido diccionario ms.,,,
ham,¿A esa hora quieres que venga?,,,
ham,"Genial, avísame cuando estés por aquí.",,,
ham,Shb está bien lor... Gracias...,,,
ham,"Hermosa verdad que desafía la gravedad. Lee atentamente: ""Nuestro corazón se siente ligero cuando alguien está en él... Pero se siente muy pesado cuando alguien lo deja..."" BUENAS NOCHES",,,
ham,Recuerda también sacar el cuenco de Dobby de tu coche.,,,
spam,Historias sucias y CHICAS esperando tu,,,
ham,"Lo siento, ahora veo tu mensaje... Ay, pobrecita... Pero solo por una noche... Mañana tendrás una habitación nueva para dormir...",,,
ham,"El amor no es una decisión, es un sentimiento. Si pudiéramos decidir a quién amar, la vida sería mucho más sencilla, pero también menos mágica.",,,
ham,"Bueno, al parecer se retiró.",,,
ham,Mi código de clasificación es y mi número de cuenta es . El banco es NatWest. ¿Podrías confirmarme que he enviado esto a la persona correcta?,,,
ham,Dónde @,,,
ham,¿Seguro que no puedes coger días por enfermedad?,,,
spam,¡URGENTE! Estamos intentando contactarte. El sorteo de hoy muestra que has ganado un premio de 800 € GARANTIZADO. Llama al 09050001808 desde un teléfono fijo. Reclama M95. Válido solo por 12 horas.,,,
ham,"Ver dibujos animados, escuchar música y por la noche tenía que ir al templo y a la iglesia. ¿Y tú?",,,
ham,"Oye Chad, ¿a qué clase de gimnasia quieres apuntarte? La página dice que la clase de Christians está llena.",,,
ham,¿Estás tan ocupado?,,,
ham,"O mejor aún, ¿puedes encontrarla y preguntarle si puede venderme <#>?",,,
ham,No estoy seguro del menú de la noche... Solo conozco el menú del mediodía.,,,
ham,"¿Qué quieres cuando vuelva? Un hermoso collar como muestra de mi amor por ti. Eso es lo que te daré, pero SOLO a MI ESPOSA, a mi gusto. Sé ella y verás... Nadie más puede darte eso. No me llames. Esperaré hasta que vuelva.",,,
ham,¿Estás dispuesto a asistir a una clase de aptitud?,,,
ham,"No será hasta las 2:15 porque estoy intentando arreglar la casa, ¿está bien?",,,
ham,"Yar lor él quería ir a ver carreras de caballos hoy, así que comió más temprano. Comí arroz con pollo. ¿Y tú?",,,
ham,"Jaja, genial, ya vuelvo.",,,
ham,"Sí, creo que sí, hasta que cierre la tienda online.",,,
ham,¿Cuál es su número de cuenta?,,,
ham,"Eh, enviaste el mensaje equivocado...",,,
ham,"¡Oye, no! Tuve una noche de mierda, fue aburrido sin ti. ¡Qué aburrido eres, perra! Gracias, pero espera hasta la próxima vez que te tenga.",,,
ham,"De acuerdo, hablaré con él.",,,
ham,No lo dudes. Sabes que es la segunda vez que tiene debilidad así. Así que lleva un cuaderno de lo que comió e hizo el día anterior o si algo cambió el día anterior para que podamos estar seguros de que no es nada.,,,
ham,"Hola, puedes pagar. Con salario de. Solo &lt;#&gt; .",,,
ham,"Otro mes. Necesito chocolate, marihuana y alcohol.",,,
ham,"Si empieza a buscar, encontrará trabajo en pocos días. Tiene un gran potencial y talento.",,,
ham,Calculo que hay que estar en el pueblo sobre las ocho para ir andando desde el aparcamiento.,,,
spam,"¡Felicidades! 2 videoteléfonos móviles 3G son tuyos. ¡Llama ahora al 09063458130! Chatea por video con tus amigos, juega a juegos Java, descarga música PolyPH, alquiler sin línea.",,,
ham,MIRA LA PUTA HORA. ¿QUÉ COÑO CREES QUE ESTÁ PASANDO?,,,
ham,¿Adivina qué acabo de publicar?,,,
ham,Carlos dice que estará en mu en <#> minutos,,,
ham,Estoy en la oficina ahora. Te llamaré en :),,,
ham,"Geeeee... Ya te extraño, ¿sabes? Solo puedo pensar en ti. Joder, no puedo esperar al año que viene para estar juntos... *beso cariñoso*",,,
ham,"Yun ah. El de Ubi dice que si quieres llamar mañana, llama al 67441233 y pregunta por Irene. Solo hay autobuses 8, 22, 65, 61, 66, 382. Ubi Cres, Ubi Tech Park. 6 por hora durante los primeros 5 días de la semana.",,,
ham,Uf. Tengo que volver a San Diego desde Los Ángeles. Me duele el trasero.,,,
ham,26 DE JULIO,,,
ham,¡Hola! ¡Estoy disfrutando al máximo! ¡Tenemos que levantarnos a las 7 de la mañana todos los días! ¿Estuvo bien la fiesta la otra noche? Llego a casa mañana sobre las 5.,,,
ham,Hasta �_... �� quería venir entonces venir lor... Pero no vi ninguna falda de rayas...,,,
ham,La historia de la Navidad es paz... El mensaje de Navidad es amor... El milagro de Navidad es Jesús... Que tengas un mes lleno de bendiciones y te deseo una Feliz Navidad...,,,
ham,"¡No puedo, no tengo su número!",,,
ham,Cambia otra vez... Es la que está al lado de la escalera mecánica...,,,
ham,"Yetunde, estoy en clase, ¿puedes dejar de echarle agua para que se arregle? Por favor, ahora.",,,
ham,No ha pasado gran cosa por aquí. Hay mucha tranquilidad. Beth está en casa de su tía y Charlie trabaja mucho. Ahora mismo solo estamos Helen y yo. ¿Cómo has estado?,,,
ham,"Entonces, espérame en la parada del autobús después de tu clase. Si no te veo, iré a buscar mi coche y luego volveré a recogerte.",,,
ham,"Vale, lo haré, gracias de nuevo por venir.",,,
ham,No... pero he oído hablar de eso...,,,
spam,"¡Llame a nuestro representante de atención al cliente al número gratuito 0808 145 4742 entre las 9:00 y las 23:00, ya que ha ganado un premio garantizado de 1000 £ en efectivo o 5000 £!",,,
ham,Sí... es realmente genial... Bhaji le dijo a Kallis que es el mejor jugador de críquet después de Sachin en el mundo :). Es muy difícil sacarlo.,,,
ham,<#> ¿Creo que? Debería decirse en el programa de estudios.,,,
ham,Mamá. ¿Dijo algo?,,,
ham,"Dame un segundo para pensarlo, pensarlo",,,
spam,Panasonic y Bluetooth HD GRATIS. Nokia GRATIS. Motorola GRATIS y Doble Minutos y Doble Mensajes con contrato Orange. Llama a MobileUpd8 al 08000839402 o llama al 2optout.,,,
ham,No sé muy bien qué hacer. Sigo sin poder contactar con nadie. ¿Podría pasar a recogerte sobre las 19:30 y vemos si están en el pub?,,,
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",,,
ham,"Estimado héroe, esta noche me voy a Qatar para aprovechar una excelente oportunidad. Por favor, mantente en contacto conmigo en <EMAIL>, Kerala.",,,
ham,"Jajaja, lo haría, pero mi madre se pondría furiosa y le contaría a toda la familia lo loca y terrible que soy.",,,
ham,"Acabo de llegar a casa, cariño, ¿sigues despierta?",,,
ham,"No sé, ya cerraron, no... �� v ma fan...",,,
ham,Solo compra una pizza. De carne o suprema. Tú eliges.,,,
ham,"Sí, le dije... ella estaba preguntando qué importaba.",,,
ham,"Estimado, lamento no haber podido contestar la llamada. Conduje desde CTLA y ahora estoy en casa en Cochin. Dejé el móvil en el coche. ¿Cómo estás? ¡Feliz Bakrid!",,,
spam,"¡GRATIS la primera semana! El tono Nokia n.° 1 para tu móvil cada semana, solo envía un SMS con la palabra NOKIA al 8007. ¡Empieza a enviar SMS y cuéntaselo a tus amigos! www.getzed.co.uk Apartado de correos 36504 W45WQ Precio normal: 150 peniques/tono. Mayores de 16 años.",,,
ham,¿Te envío ese archivo ejecutable a tu correo electrónico?,,,
ham,"No, no veo la tele en casa... No salgo. Estoy muy aburrido...",,,
ham,"No lo sé... espera, lo revisaré.",,,
ham,"Buenas tardes en este glorioso día de aniversario, mi dulce J!! Espero que te encuentres feliz y contenta, mi presa. Pienso en ti y te envío un beso juguetón desde el otro lado del mar, evocando imágenes de entrañables recuerdos... Tú, Cougar-Pen",,,
spam,¡Adivina qué! ¡Alguien que conoces siente atracción secreta por ti! ¿Quieres descubrir quién es? Llámanos al 09065394514 (desde teléfono fijo) DATEBox1282EssexCM61XN 150p/min 18,,,
ham,¿Seguimos con el plan para esta noche?,,,
ham,"¿Puedo llamarte más tarde, por favor?",,,
ham,"¿No ha sido esa la tónica últimamente, fines de semana de mierda?",,,
ham,Me duele la garganta. Me pica cuando hablo.,,,
ham,"Sí, da. ¿Hay algún plm en tu oficina?",,,
ham,¿No estás por aquí o sigues dormido? :V,,,
ham,"Jaja, ¿lo olvidaste, eh? Sí, lo traeré, cariño.",,,
ham,"Está bien, encontraremos una solución.",,,
ham,No se pueden usar sellos extranjeros en este país. Buena conferencia.,,,
ham,"Sí, ya me bañé...",,,
